soc_id,sub_case,year,var_id,code,comment,references,source_coded_data,admin_comment
Ic5,Bare'e subgroup,1910,EA201,2,,adrianiandkruijt1912; downs1956; drabbe1940,EthnographicAtlas_1967_p94,
Ic6,,1930,EA201,1,,drabbe1940,EthnographicAtlas_1967_p94,
Ic7,with special reference to the village of Leloba in E. Flores,1920,EA201,2,,vatter1932,EthnographicAtlas_1967_p94,
Ic8,,1890,EA201,2,,pleyte1893,EthnographicAtlas_1967_p94,
Ic9,with special reference to eastern Sumba,1930,EA201,2,,nooteboom1940,EthnographicAtlas_1967_p94,
Id1,Alice Springs and environs,1900,EA201,2,,murdock1934b:20-47; spencerandgillen1927; strehlow190711,EthnographicAtlas_1967_p94,
Id10,,1930,EA201,2,,meggitt1962a,Ethnology_Vol7_No2_Apr_1968,
Id11,,1950,EA201,2,,hiatt1965,Ethnology_Vol7_No1_Jan_1968,
Id12,,1930,EA201,1,,sharp1934,Ethnology_Vol7_No1_Jan_1968,
Id13,,1930,EA201,1,But women live in segregated camps where they are visited secretly by men entitled to sleep with them,rose1960,Ethnology_Vol7_No2_Apr_1968,
Id2,,1930,EA201,1,,berndt1955; elkin1950; warner1937,EthnographicAtlas_1967_p94,
Id3,Tiwi Tribe: Melville Island,1920,EA201,2,,basedow1913; goodale1959; goodale1960; goodale1962; goodale1971; hartandpilling1960; mountford1958; pilling1957,EthnographicAtlas_1967_p94,
Id4,,1900,EA201,2,,berndt1953; elkin1940a; gason1874; howitt1891; howitt1904,EthnographicAtlas_1967_p94,
Id5,,1910,EA201,2,,radcliffebrown1913; radcliffebrown1930; romneyandepling1958,EthnographicAtlas_1967_p94,
Id6,with special reference to the Archer River group,1920,EA201,2,,mcconnel1930; mcconnel1934; mcconnel1940; needham1962; thomson1935; thomson1936,EthnographicAtlas_1967_p94,
Id7,,1940,EA201,2,,falkenberg1962,Ethnology_Vol2_No1_Jan_1963,
Id8,,,EA201,NA,,,,
Id9,,1910,EA201,2,,howitt1904; radcliffebrown1923,EthnographicAtlas_1967_p94,
